id,title,title_url,articles_with_corrections,total_articles,percentage_with_corrections
1417,Gnowangerup Star (WA : 1941 - 1954),http://nla.gov.au/nla.news-title1417,334,15774,2.117408393559021
1273,"The Goldfields Morning Chronicle (Coolgardie, WA : 1896 - 1898)",http://nla.gov.au/nla.news-title1273,985,46446,2.120742367480515
1279,"The Murchison Times and Day Dawn Gazette (Cue, WA : 1894 - 1925)",http://nla.gov.au/nla.news-title1279,5443,255799,2.127842563888053
1219,Casino and Kyogle Courier and North Coast Advertiser (NSW : 1904 - 1932),http://nla.gov.au/nla.news-title1219,5057,237352,2.130590852404867
1342,"Daily Pictorial (Sydney, NSW : 1930 - 1931)",http://nla.gov.au/nla.news-title1342,1521,71000,2.1422535211267606
1257,"The News (Hobart, Tas. : 1924 - 1925)",http://nla.gov.au/nla.news-title1257,1515,70584,2.1463787827269636
1420,"Hedland Advocate (Port Hedland, WA : 1906 - 1912)",http://nla.gov.au/nla.news-title1420,385,17923,2.1480778887463035
1548,"Sunday Chronicle (Perth, WA : 1897 - 1899)",http://nla.gov.au/nla.news-title1548,58,2699,2.1489440533530937
1435,"The Western Australian Goldfields Courier (Coolgardie, WA : 1894 - 1898)",http://nla.gov.au/nla.news-title1435,642,29789,2.1551579442075934
1738,"The Advertiser (Hobart, Tas. :  1861 - 1865)",http://nla.gov.au/nla.news-title1738,714,33108,2.1565784704603117
1284,"The Labor Daily (Sydney, NSW : 1924 - 1938)",http://nla.gov.au/nla.news-title1284,20167,928143,2.1728332810784545
1402,"The Central Districts Advocate (Goomalling, WA : 1922 - 1924)",http://nla.gov.au/nla.news-title1402,55,2527,2.176493866244559
860,"Daily Post (Hobart, Tas. : 1908 - 1918)",http://nla.gov.au/nla.news-title860,11987,549851,2.180045139501429
1445,Narrogin Advocate and Southern Districts Courier (WA : 1904 - 1906),http://nla.gov.au/nla.news-title1445,96,4392,2.185792349726776
1333,Saturday Mail (SA : 1912 - 1917),http://nla.gov.au/nla.news-title1333,388,17652,2.198051212327215
1400,Bulong Bulletin and Mining Register (WA : 1897 - 1898),http://nla.gov.au/nla.news-title1400,14,636,2.20125786163522
761,Camperdown Herald (Vic. : 1914 - 1918),http://nla.gov.au/nla.news-title761,572,25963,2.2031352309055197
1847,"Western Press and Camperdown, Colac, Mortlake and Terang Representative (Vic. : 1866-1867 ; 1870)",http://nla.gov.au/nla.news-title1847,42,1902,2.2082018927444795
796,"Stock and Land (Melbourne, Vic. : 1914 - 1918)",http://nla.gov.au/nla.news-title796,329,14898,2.2083501141092765
1430,The Albany Despatch (WA : 1919 - 1927),http://nla.gov.au/nla.news-title1430,1081,48870,2.2119909965213833
586,The Narracan Shire Advocate (Vic. : 1889 - 1923),http://nla.gov.au/nla.news-title586,1812,81678,2.218467641225299
1448,Mount Morgans Mercury (WA : 1906 - 1909),http://nla.gov.au/nla.news-title1448,108,4846,2.228642179116797
352,"Irrigation Record (Leeton, NSW : 1913 - 1917)",http://nla.gov.au/nla.news-title352,72,3227,2.2311744654477845
1150,"Australische Zeitung (Adelaide, SA : 1875 - 1916)",http://nla.gov.au/nla.news-title1150,2140,95439,2.2422699315793335
578,"Lismore, Derrinallum and Cressy Advertiser (Vic. : 1914 - 1918)",http://nla.gov.au/nla.news-title578,293,13050,2.2452107279693485
1108,"Bruce Rock-Corrigin Post, Narembeen-Kondinin Guardian (WA : 1948 - 1954)",http://nla.gov.au/nla.news-title1108,423,18806,2.249282143996597
1123,Nungarin Trayning Mail and Kununoppin Advertiser (WA : 1917 - 1922),http://nla.gov.au/nla.news-title1123,172,7625,2.2557377049180327
